Range,Range Name,Chapter,Chapter Name,Section,Section Name,Subject,Subject Name,Level,Status,GitHub URL
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-400,Safety and Certification Framework,060-400-500,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-400_Safety-and-Certification-Framework/060-400-500_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-400,Safety and Certification Framework,060-400-600,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-400_Safety-and-Certification-Framework/060-400-600_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-400,Safety and Certification Framework,060-400-700,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-400_Safety-and-Certification-Framework/060-400-700_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-400,Safety and Certification Framework,060-400-800,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-400_Safety-and-Certification-Framework/060-400-800_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-400,Safety and Certification Framework,060-400-900,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-400_Safety-and-Certification-Framework/060-400-900_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-000,General Information,SUBJECT,SCAFFOLD,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-000_General-Information
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-100,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-100_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-200,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-200_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-300,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-300_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-400,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-400_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-500,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-500_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-600,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-600_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-700,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-700_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-800,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-800_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-500,Environmental Performance and Non CO2 Doctrine,060-500-900,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-500_Environmental-Performance-and-Non-CO2-Doctrine/060-500-900_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-000,General Information,SUBJECT,SCAFFOLD,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-000_General-Information
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-100,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-100_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-200,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-200_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-300,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-300_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-400,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-400_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-500,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-500_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-600,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-600_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-700,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-700_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-800,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-800_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-600,Interfaces to Aircraft Systems,060-600-900,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-600_Interfaces-to-Aircraft-Systems/060-600-900_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-000,General Information,SUBJECT,SCAFFOLD,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-000_General-Information
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-100,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-100_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-200,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-200_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-300,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-300_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-400,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-400_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-500,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-500_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-600,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-600_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-700,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-700_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-800,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-800_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-700,Standard Practices Powerplant,060-700-900,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-700_Standard-Practices-Powerplant/060-700-900_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-000,General Information,SUBJECT,SCAFFOLD,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-000_General-Information
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-100,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-100_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-200,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-200_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-300,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-300_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-400,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-400_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-500,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-500_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-600,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-600_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-700,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-700_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-800,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-800_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-800,Testing and Evidence Framework,060-800-900,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-800_Testing-and-Evidence-Framework/060-800-900_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-900,Glossary and Controlled Vocabulary,,,SECTION,REALIZED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-900_Glossary-and-Controlled-Vocabulary
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-900,Glossary and Controlled Vocabulary,060-900-000,General Information,SUBJECT,SCAFFOLD,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-900_Glossary-and-Controlled-Vocabulary/060-900-000_General-Information
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-900,Glossary and Controlled Vocabulary,060-900-100,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-900_Glossary-and-Controlled-Vocabulary/060-900-100_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-900,Glossary and Controlled Vocabulary,060-900-200,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-900_Glossary-and-Controlled-Vocabulary/060-900-200_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-900,Glossary and Controlled Vocabulary,060-900-300,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-900_Glossary-and-Controlled-Vocabulary/060-900-300_Reserved
060-069,Sustainable Energy Carrier Combustion Propulsion,060,General and Range Doctrine,060-900,Glossary and Controlled Vocabulary,060-900-400,Reserved,SUBJECT,RESERVED,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/060-069_Sustainable-Energy-Carrier-Combustion-Propulsion/060_General-and-Range-Doctrine/060-900_Glossary-and-Controlled-Vocabulary/060-900-400_Reserved
