Band Code,Band,Range Code,Range Name,Chapter Code,Chapter Name,Section Code,Section Number,Section Name,Section Folder,Repository Path,GitHub URL
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-240,240,Gravity Manual Replenishment,028-240_Gravity-Manual-Replenishment,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-240_Gravity-Manual-Replenishment,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-240_Gravity-Manual-Replenishment
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-250,250,Energy Pump Converter Wiring Connectors,028-250_Energy-Pump-Converter-Wiring-Connectors,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-250_Energy-Pump-Converter-Wiring-Connectors,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-250_Energy-Pump-Converter-Wiring-Connectors
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-260,260,Energy Transfer and Balancing,028-260_Energy-Transfer-and-Balancing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-260_Energy-Transfer-and-Balancing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-260_Energy-Transfer-and-Balancing
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-400,400,Energy Carrier Quantity and State Indication,028-400_Energy-Carrier-Quantity-and-State-Indication,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-400_Energy-Carrier-Quantity-and-State-Indication,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-400_Energy-Carrier-Quantity-and-State-Indication
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-410,410,Electrical Quantity State Indication SoC,028-410_Electrical-Quantity-State-Indication-SoC,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-410_Electrical-Quantity-State-Indication-SoC,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-410_Electrical-Quantity-State-Indication-SoC
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-420,420,Direct Level Indication,028-420_Direct-Level-Indication,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-420_Direct-Level-Indication,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-420_Direct-Level-Indication
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-430,430,Energy Carrier Temperature Indication,028-430_Energy-Carrier-Temperature-Indication,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-430_Energy-Carrier-Temperature-Indication,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-430_Energy-Carrier-Temperature-Indication
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-440,440,Low Energy Level Warning,028-440_Low-Energy-Level-Warning,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-440_Low-Energy-Level-Warning,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-440_Low-Energy-Level-Warning
000-099,S-ATLAS,020-029,Core Aircraft Systems,028,Energy Carrier Storage and Distribution,028-900,900,Energy Carrier Management,028-900_Energy-Carrier-Management,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-900_Energy-Carrier-Management,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/028_Energy-Carrier-Storage-and-Distribution/028-900_Energy-Carrier-Management
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-000,000,General,029-000_General,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-000_General,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-000_General
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-100,100,Main Power Generation,029-100_Main-Power-Generation,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-100_Main-Power-Generation,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-100_Main-Power-Generation
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-110,110,Primary Power Systems,029-110_Primary-Power-Systems,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-110_Primary-Power-Systems,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-110_Primary-Power-Systems
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-120,120,Tertiary Power System,029-120_Tertiary-Power-System,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-120_Tertiary-Power-System,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-120_Tertiary-Power-System
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-130,130,Ground Service Connections,029-130_Ground-Service-Connections,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-130_Ground-Service-Connections,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-130_Ground-Service-Connections
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-300,300,Indicating,029-300_Indicating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-300_Indicating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-300_Indicating
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-310,310,Pressure State Indicating,029-310_Pressure-State-Indicating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-310_Pressure-State-Indicating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-310_Pressure-State-Indicating
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-320,320,Quantity Indicating,029-320_Quantity-Indicating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-320_Quantity-Indicating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-320_Quantity-Indicating
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-330,330,Temperature Indicating,029-330_Temperature-Indicating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-330_Temperature-Indicating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-330_Temperature-Indicating
000-099,S-ATLAS,020-029,Core Aircraft Systems,029,Actuation and Utility Power,029-900,900,Distributed Electric Actuation and Utility Power,029-900_Distributed-Electric-Actuation-and-Utility-Power,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-900_Distributed-Electric-Actuation-and-Utility-Power,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/020-029_Core-Aircraft-Systems/029_Actuation-and-Utility-Power/029-900_Distributed-Electric-Actuation-and-Utility-Power
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-000,000,General,030-000_General,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-000_General,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-000_General
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-100,100,Airfoil Anti Ice,030-100_Airfoil-Anti-Ice,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-100_Airfoil-Anti-Ice,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-100_Airfoil-Anti-Ice
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-110,110,Wing Anti Ice Electrothermal,030-110_Wing-Anti-Ice-Electrothermal,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-110_Wing-Anti-Ice-Electrothermal,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-110_Wing-Anti-Ice-Electrothermal
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-200,200,Propulsion Module Inlet Anti Ice,030-200_Propulsion-Module-Inlet-Anti-Ice,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-200_Propulsion-Module-Inlet-Anti-Ice,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-200_Propulsion-Module-Inlet-Anti-Ice
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-210,210,Propulsion Module Anti Ice Electric,030-210_Propulsion-Module-Anti-Ice-Electric,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-210_Propulsion-Module-Anti-Ice-Electric,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-210_Propulsion-Module-Anti-Ice-Electric
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-300,300,Pitot and Static,030-300_Pitot-and-Static,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-300_Pitot-and-Static,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-300_Pitot-and-Static
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-310,310,Integrated Pitot Static AOA Sensor Heating,030-310_Integrated-Pitot-Static-AOA-Sensor-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-310_Integrated-Pitot-Static-AOA-Sensor-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-310_Integrated-Pitot-Static-AOA-Sensor-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-320,320,Static Port Heating,030-320_Static-Port-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-320_Static-Port-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-320_Static-Port-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-330,330,TAT Sensor Heating,030-330_TAT-Sensor-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-330_TAT-Sensor-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-330_TAT-Sensor-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-400,400,Windows Windshields and Doors,030-400_Windows-Windshields-and-Doors,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-400_Windows-Windshields-and-Doors,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-400_Windows-Windshields-and-Doors
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-410,410,Windshield Wiper,030-410_Windshield-Wiper,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-410_Windshield-Wiper,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-410_Windshield-Wiper
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-420,420,Windshield Heating,030-420_Windshield-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-420_Windshield-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-420_Windshield-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-430,430,Passenger Door Heating,030-430_Passenger-Door-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-430_Passenger-Door-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-430_Passenger-Door-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-440,440,EFVS Window Heating,030-440_EFVS-Window-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-440_EFVS-Window-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-440_EFVS-Window-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-700,700,Water Waste Line Freeze Protection,030-700_Water-Waste-Line-Freeze-Protection,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-700_Water-Waste-Line-Freeze-Protection,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-700_Water-Waste-Line-Freeze-Protection
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-710,710,Potable Water Heating,030-710_Potable-Water-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-710_Potable-Water-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-710_Potable-Water-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-720,720,Grey Water Heating,030-720_Grey-Water-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-720_Grey-Water-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-720_Grey-Water-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-730,730,Recirculating WSP Valve Heating,030-730_Recirculating-WSP-Valve-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-730_Recirculating-WSP-Valve-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-730_Recirculating-WSP-Valve-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-740,740,Vacuum Waste Heating,030-740_Vacuum-Waste-Heating,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-740_Vacuum-Waste-Heating,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-740_Vacuum-Waste-Heating
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-800,800,Ice Detection,030-800_Ice-Detection,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-800_Ice-Detection,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-800_Ice-Detection
000-099,S-ATLAS,030-039,Protection and Mechanical Systems,030,Ice and Rain Protection,030-810,810,Ice Detector,030-810_Ice-Detector,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-810_Ice-Detector,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/030-039_Protection-and-Mechanical-Systems/030_Ice-and-Rain-Protection/030-810_Ice-Detector
